Age,Term,Crime,Nativity,Race,Page,File,Year
26,4.5,L,MA,W,48,1,1878
36,1.5,F,DC,W,48,1,1878
26,L,M,PA,W,48,1,1878
27,8,L,C,W,48,1,1878
32,3,L,CA ,M,48,1,1878
18,10,M,I ,W,48,1,1878
20,10,M,I ,W,48,1,1878
30,8,L,KY,W,48,1,1878
37,4.5,B,E,W,48,1,1878
29,2,A,OH,W,48,1,1878
21,3,L,IA,W,48,1,1878
18,1.5,L,NY,W,48,1,1878
28,L,M,MO,W,48,1,1878
35,3,MA,MD,W,48,1,1878
24,L,M,I,W,48,1,1878
19,3,L,IL,W,48,1,1878
35,5,F,E,W,48,1,1878
22,6,L,WI,W,48,1,1878
31,5,L,IR,M,48,1,1878
16,2.5,L,WI,W,48,1,1878
23,6,R,NY,W,48,1,1878
35,5,B,IR,W,48,1,1878
18,5,L,WI ,W,48,1,1878
26,8,L & BI,G,W,48,1,1878
23,L,M,NY,W,48,1,1878
52,2,M,F,W,48,1,1878
23,2,L,MA,W,48,1,1878
25,1,L,PA,W,49,1,1878
29,4,L,LA,W,49,1,1878
17,15,M,MO,W,49,1,1878
18,4.5,M,MO,B,49,1,1878
26,4,L,IA,W,49,1,1878
37,2,L,NY,W,49,1,1878
23,L,M,I,W,49,1,1878
23,4,L,KY,W,49,1,1878
71,3,L,I,W,49,1,1878
23,1,L,MO,W,49,1,1878
26,1,L,IN,W,49,1,1878
22,3,L,IR,W,49,1,1878
32,15,L & B ,DC,W,49,1,1878
36,7,B,DC,W,49,1,1878
38,1,L,NY,W,49,1,1878
48,3,A,OH,B,49,1,1878
26,4.5,L,MA,W,49,1,1878
24,3,F,C,W,49,1,1878
32,3,L,NY,W,49,1,1878
34,2,L,MI,W,49,1,1878
38,5,M,E,W,49,1,1878
49,L,M,C,W,49,1,1878
16,1,L,MN,W,49,1,1878
18,10,B,NY,W,49,1,1878
29,4,L,IN,W,49,1,1878
29,6,L & A,MA,W,49,1,1878
30,3,L,AL,B,49,1,1878
20,1.33,L,VA,W,50,2,1878
27,3,R,DC,W,50,2,1878
43,5,F,G,W,50,2,1878
36,2,L,MA,W,50,2,1878
26,7,M,Ny,W,50,2,1878
32,3,L,G,W,50,2,1878
27,10,R,A,W,50,2,1878
25,L,M,I,W,50,2,1878
20,1.5,L,NM,M,50,2,1878
34,2,L,M ,M,50,2,1878
50,5,A,IR,W,50,2,1878
17,3.5,B,MO,B,50,2,1878
17,2.5,L,KS,B,50,2,1878
25,L,M,NY,W,50,2,1878
29,10,A,IN,W,50,2,1878
44,7,L,GA,W,50,2,1878
37,6,MA,IA,W,50,2,1878
29,L,M,IT,B,50,2,1878
28,6,L,OH,W,50,2,1878
47,5,A,PA,W,50,2,1878
23,2.75,F,NY,W,50,2,1878
33,2.33,L,DC,W,50,2,1878
14,2,L,DC,W,50,2,1878
