Term Legend,Race Legend,Crime Legend,Countries Legend,State Abbreviations,State Names
,,,,,
L: Life,W:White,L: Larceny,I: Italy,AL,Alabama
D: Death,B: Black/negro,F: Forgery,E: England,AK,Alaska
,M: Mexican,M: Murder,F: France,AZ,Arizona
,MU: Mulatto ,B: Burglary ,G: Germany,AR,Arkansas
,I: Indian,A: Assault ,IR: Ireland,CA,California
,,MA: Manslaughter,C: Canada ,CO,Colorado
,,RA: Rape,A: Austria,CT,Connecticut
,,C: Counterfeiting ,M: Mexico,DE,Delaware
,,E: Embezzlement,P: Prussia,DC,District of Columbia
,,BI: Bigamy,R: Russia,FL,Florida
,,AIM: Assault w/ intent to murder,S: Scotland,GA,Georgia
,,AIR: Assault w/ intent to rape,IOM: Isle of Man,HI,Hawaii
,,CON: Confidence Games,N: Norway,ID,Idaho
,,AIK: Assault w/ intent to kill ,NS: Nova Scotia,IL,Illinois
,,AIROB: ASSAULT w/ intent to rob,PO: Poland,IN,Indiana
,,GL: Grand larceny,CU: Cuba,IA,Iowa
,,R: Robbery,W: Wales,KS,Kansas
,,FP: False Pretenses,SAX: Saxony,KY,Kentucky
,,CAN: Crime Against Nature,BOH: BOHEMIA,LA,Louisiana
,,RSG: Receiving Stolen Goods,,ME,Maine
,,BUG: Buggary,,MD,Maryland
,,MAY: Mayhem,,MA,Massachusetts
,,U: Uttering,,MI,Michigan
,,LAB: Larceny as Bailee,,MN,Minnesota
,,VM: Voluntary Manslaughter,,MS,Mississippi
,,LFP: Larceny from Person,,MO,Missouri
,,UF: UTTERING FORGERY,,MT,Montana
,,AR: ARSON,,NE,Nebraska
,,AT: ACESSORY TO,,NV,Nevada
,,FA: FELONIOUIS ASSAULT,,NH,New Hampshire
,,P: Perjury,,NJ,New Jersey
,,,,NM,New Mexico
,,,,NY,New York
,,,,NC,North Carolina
,,,,ND,North Dakota
,,,,OH,Ohio
,,,,OK,Oklahoma
,,,,OR,Oregon
,,,,PA,Pennsylvania
,,,,PR,Puerto Rico
,,,,RI,Rhode Island
,,,,SC,South Carolina
,,,,SD,South Dakota
,,,,TN,Tennessee
,,,,TX,Texas
,,,,UT,Utah
,,,,VT,Vermont
,,,,VA,Virginia
,,,,VI,Virgin Islands
,,,,WA,Washington
,,,,WV,West Virginia
,,,,WI,Wisconsin
,,,,WY,Wyoming
