Term,Crime,Nationality,File,Year
L,M,US,1,1890
8,L,US,1,1890
6,L,US,1,1890
7,AIM,US,1,1890
6,L & CON,US,1,1890
10,B,US,1,1890
8,B,US,1,1890
8,B,IR,1,1890
7,AIK,US,1,1890
25,M,B,1,1890
L,M,US,1,1890
15,M,US,1,1890
10,L,US,1,1890
5,L,US,1,1890
8,L,US,1,1890
5,M,US,1,1890
10,B & L,US,1,1890
L,M,SW ,1,1890
8,B & R,US,1,1890
5.5,L & A,US,1,1890
5,R,US,1,1890
7,R,US,1,1890
5,B,US,1,1890
4,AIK,US,1,1890
L,M,G,1,1890
8,L,US,1,1890
5,L,US,1,1890
3.5,R,US,1,1890
5,L & RSG,US,1,1890
4,R,US,1,1890
4,R,US,1,1890
8,M,US,1,1890
9,B,B,1,1890
4,F,US,1,1890
4,F,IR,1,1890
5,R,SW ,1,1890
5,AIROB,IR,1,1890
5,AIROB,IR,1,1890
4,VM,IR,2,1890
4,L,US,2,1890
4,F,US,2,1890
5,L,IR,2,1890
5,L,IR,2,1890
6,LAB,US,2,1890
14,M,US,2,1890
15,M,IR,2,1890
3.5,AIR,US,2,1890
4,FA,US,2,1890
4,L,B,2,1890
3,F & U,F,2,1890
5,L,US,2,1890
3,R,US,2,1890
3,R,US,2,1890
5,L,US,2,1890
7,R,US,2,1890
4,L,IR,2,1890
4,L,IR,2,1890
3,L,IR,2,1890
4,L,US,2,1890
7,R,US,2,1890
3,B,US,2,1890
3,B,US,2,1890
5,M,US,2,1890
5,AIM,US,2,1890
3,R,US,2,1890
3,L,US,2,1890
3,B,US,2,1890
3,L,US,2,1890
3,F,US,2,1890
2.5,L,US,2,1890
3,B,US,2,1890
5,L,US,2,1890
3,R,US,2,1890
3,R,US,2,1890
4,L,US,2,1890
3,B,US,2,1890
3,L,US,3,1890
6,L,US,3,1890
3,M,IR,3,1890
4.17,L,US,3,1890
8,AIM,US,3,1890
3,R,US,3,1890
5,F,US,3,1890
3,B,US,3,1890
4,M,BOH,3,1890
3,L,US,3,1890
4,F,US,3,1890
4,L,S,3,1890
4,L,US,3,1890
5,B,US,3,1890
3,L,G,3,1890
3,L,G,3,1890
16,M,US,3,1890
L,M,US,3,1890
2,F,US,3,1890
4,F,US,3,1890
2,L,M,3,1890
3,B,US,3,1890
2,F,G,3,1890
2,B,US,3,1890
5,B,E,3,1890
2,L,B ,3,1890
2,LAB,C,3,1890
2,L,US,3,1890
2,L,US,3,1890
2,L,US,3,1890
2,L,US,3,1890
3,L,US,3,1890
3,L,US,3,1890
3,B,US,3,1890
2,L,US,3,1890
3,L,US,3,1890
4,L,US,3,1890
4,B & L,IR,3,1890
5,F,B,4,1890
5,L,US,4,1890
5,L,IR,4,1890
6,B & L,US,4,1890
7,L,US,4,1890
7,B & L,G,4,1890
15,L,US,4,1890
2,F,US,4,1890
3,AIROB,B,4,1890
