,variable,column,year,population
0,White,RACE,1870,39342
1,Black/African American/Negro,RACE,1870,436
2,Chinese,RACE,1870,7
3,American Indian or Alaska Native,RACE,1870,41
4,White,RACE,1880,190148
5,Black/African American/Negro,RACE,1880,3694
6,Chinese,RACE,1880,611
7,American Indian or Alaska Native,RACE,1880,35
8,White,RACE,1900,529574
9,Black/African American/Negro,RACE,1900,8313
10,Chinese,RACE,1900,589
11,Japanese,RACE,1900,48
12,American Indian or Alaska Native,RACE,1900,1047
13,White,RACE,1910,787438
14,Black/African American/Negro,RACE,1910,11569
15,American Indian or Alaska Native,RACE,1910,1437
16,Japanese,RACE,1910,2079
17,Other Asian or Pacific Islander,RACE,1910,151
18,Chinese,RACE,1910,356
19,White,RACE,1920,926004
20,Black/African American/Negro,RACE,1920,11644
21,Japanese,RACE,1920,2450
22,American Indian or Alaska Native,RACE,1920,1273
23,Other Asian or Pacific Islander,RACE,1920,206
24,Chinese,RACE,1920,278
25,White,RACE,1930,1019132
26,Japanese,RACE,1930,3224
27,Black/African American/Negro,RACE,1930,11875
28,Other Asian or Pacific Islander,RACE,1930,315
29,American Indian or Alaska Native,RACE,1930,1384
30,Chinese,RACE,1930,234
31,White,RACE,1940,1108910
32,Japanese,RACE,1940,2584
33,Other Asian or Pacific Islander,RACE,1940,295
34,American Indian or Alaska Native,RACE,1940,1270
35,Black/African American/Negro,RACE,1940,12118
36,Chinese,RACE,1940,222
37,White,RACED,1870,39342
38,Mulatto,RACED,1870,170
39,Black/African American/Negro,RACED,1870,266
40,Chinese,RACED,1870,7
41,American Indian/Alaska Native,RACED,1870,41
42,White,RACED,1880,190148
43,Black/African American/Negro,RACED,1880,1663
44,Chinese,RACED,1880,611
45,Mulatto,RACED,1880,2031
46,American Indian/Alaska Native,RACED,1880,35
47,White,RACED,1900,529574
48,Black/African American/Negro,RACED,1900,8313
49,Chinese,RACED,1900,589
50,Japanese,RACED,1900,48
51,American Indian/Alaska Native,RACED,1900,1047
52,White,RACED,1910,786341
53,Mulatto,RACED,1910,3727
54,American Indian/Alaska Native,RACED,1910,1437
55,Black/African American/Negro,RACED,1910,7842
56,Japanese,RACED,1910,2079
57,Mexican (1930),RACED,1910,1094
58,Filipino,RACED,1910,5
59,Chinese,RACED,1910,356
60,"Asian, not specified",RACED,1910,145
61,Spanish write_in,RACED,1910,3
62,Korean,RACED,1910,1
63,White,RACED,1920,925511
64,Black/African American/Negro,RACED,1920,8607
65,Japanese,RACED,1920,2450
66,Mexican (1930),RACED,1920,489
67,Puerto Rican (1910 Hawaii),RACED,1920,2
68,Mulatto,RACED,1920,3037
69,American Indian/Alaska Native,RACED,1920,1273
70,Korean,RACED,1920,8
71,Filipino,RACED,1920,198
72,Chinese,RACED,1920,278
73,Spanish write_in,RACED,1920,2
74,White,RACED,1930,961385
75,Mexican (1930),RACED,1930,57747
76,Japanese,RACED,1930,3224
77,Black/African American/Negro,RACED,1930,11875
78,Filipino,RACED,1930,255
79,Korean,RACED,1930,49
80,American Indian/Alaska Native,RACED,1930,1384
81,Chinese,RACED,1930,234
82,Asian Indian (Hindu 1920_1940),RACED,1930,10
83,Hawaiian,RACED,1930,1
84,White,RACED,1940,1108910
85,Japanese,RACED,1940,2584
86,Filipino,RACED,1940,279
87,American Indian/Alaska Native,RACED,1940,1270
88,Black/African American/Negro,RACED,1940,12118
89,Asian Indian (Hindu 1920_1940),RACED,1940,4
90,Chinese,RACED,1940,222
91,Korean,RACED,1940,12
92,White,RACESING,1870,39342
93,Black,RACESING,1870,436
94,Asian and/or Pacific Islander,RACESING,1870,7
95,American Indian/Alaska Native,RACESING,1870,41
96,White,RACESING,1880,190148
97,Black,RACESING,1880,3694
98,Asian and/or Pacific Islander,RACESING,1880,611
