,variable,year,population
0,White,1870,39342
1,Black/African American/Negro,1870,436
2,Chinese,1870,7
3,American Indian or Alaska Native,1870,41
4,White,1880,190148
5,Black/African American/Negro,1880,3694
6,Chinese,1880,611
7,American Indian or Alaska Native,1880,35
8,White,1900,529574
9,Black/African American/Negro,1900,8313
10,Chinese,1900,589
11,Japanese,1900,48
12,American Indian or Alaska Native,1900,1047
13,White,1910,787438
14,Black/African American/Negro,1910,11569
15,American Indian or Alaska Native,1910,1437
16,Japanese,1910,2079
17,Other Asian or Pacific Islander,1910,151
18,Chinese,1910,356
19,White,1920,926004
20,Black/African American/Negro,1920,11644
21,Japanese,1920,2450
22,American Indian or Alaska Native,1920,1273
23,Other Asian or Pacific Islander,1920,206
24,Chinese,1920,278
25,White,1930,1019132
26,Japanese,1930,3224
27,Black/African American/Negro,1930,11875
28,Other Asian or Pacific Islander,1930,315
29,American Indian or Alaska Native,1930,1384
30,Chinese,1930,234
31,White,1940,1108910
32,Japanese,1940,2584
33,Other Asian or Pacific Islander,1940,295
34,American Indian or Alaska Native,1940,1270
35,Black/African American/Negro,1940,12118
36,Chinese,1940,222
37,White,1870,39342
38,Mulatto,1870,170
39,Black/African American/Negro,1870,266
40,Chinese,1870,7
41,American Indian/Alaska Native,1870,41
42,White,1880,190148
43,Black/African American/Negro,1880,1663
44,Chinese,1880,611
45,Mulatto,1880,2031
46,American Indian/Alaska Native,1880,35
47,White,1900,529574
48,Black/African American/Negro,1900,8313
49,Chinese,1900,589
50,Japanese,1900,48
51,American Indian/Alaska Native,1900,1047
52,White,1910,786341
53,Mulatto,1910,3727
54,American Indian/Alaska Native,1910,1437
55,Black/African American/Negro,1910,7842
56,Japanese,1910,2079
57,Mexican (1930),1910,1094
58,Filipino,1910,5
59,Chinese,1910,356
60,"Asian, not specified",1910,145
61,Spanish write_in,1910,3
62,Korean,1910,1
63,White,1920,925511
64,Black/African American/Negro,1920,8607
65,Japanese,1920,2450
66,Mexican (1930),1920,489
67,Puerto Rican (1910 Hawaii),1920,2
68,Mulatto,1920,3037
69,American Indian/Alaska Native,1920,1273
70,Korean,1920,8
71,Filipino,1920,198
72,Chinese,1920,278
73,Spanish write_in,1920,2
74,White,1930,961385
75,Mexican (1930),1930,57747
76,Japanese,1930,3224
77,Black/African American/Negro,1930,11875
78,Filipino,1930,255
79,Korean,1930,49
80,American Indian/Alaska Native,1930,1384
81,Chinese,1930,234
82,Asian Indian (Hindu 1920_1940),1930,10
83,Hawaiian,1930,1
84,White,1940,1108910
85,Japanese,1940,2584
86,Filipino,1940,279
87,American Indian/Alaska Native,1940,1270
88,Black/African American/Negro,1940,12118
89,Asian Indian (Hindu 1920_1940),1940,4
90,Chinese,1940,222
91,Korean,1940,12
92,Pennsylvania,1870,1572
93,Vermont,1870,375
94,Missouri,1870,1721
95,Kansas,1870,269
96,Colorado,1870,6334
97,Iowa,1870,1314
98,Ireland,1870,1702
99,Virginia,1870,510
100,Maryland,1870,197
101,Illinois,1870,1826
102,Mexico,1870,115
103,Germany,1870,1315
104,New York,1870,2796
105,North Carolina,1870,201
106,Ohio,1870,2072
107,Kentucky,1870,727
108,Tennessee,1870,291
109,Denmark,1870,47
110,New Hampshire,1870,138
111,Massachusetts,1870,629
112,Maine,1870,357
113,France,1870,207
114,Indiana,1870,817
115,Canada,1870,749
116,Michigan,1870,529
117,Switzerland,1870,143
118,Louisiana,1870,34
119,Wisconsin,1870,627
120,Mississippi,1870,42
121,Alabama,1870,59
122,Wales,1870,163
123,New Jersey,1870,177
124,California,1870,52
125,Nebraska,1870,183
126,Delaware,1870,27
127,Georgia,1870,260
128,Scotland,1870,195
129,Arkansas,1870,90
130,Wyoming,1870,54
131,Connecticut,1870,211
132,New Mexico,1870,8383
133,Sweden,1870,182
134,Rhode Island,1870,86
135,England,1870,1371
136,West Indies,1870,18
137,Minnesota,1870,82
138,Czechoslovakia,1870,15
139,West Virginia,1870,12
140,Texas,1870,143
141,Abroad (unknown) or at sea,1870,8
142,Utah,1870,67
143,Norway,1870,40
144,Oregon,1870,5
145,Netherlands,1870,17
146,Austria,1870,52
147,Poland,1870,49
148,South Carolina,1870,33
149,Other USSR/Russia,1870,17
150,District of Columbia,1870,20
151,Oklahoma,1870,2
152,SOUTH AMERICA,1870,11
153,Australia and New Zealand,1870,5
154,Hawaii,1870,2
155,Belgium,1870,11
156,Malta,1870,2
157,Montana,1870,11
158,Hungary,1870,2
159,China,1870,7
160,Spain,1870,5
161,Italy,1870,17
162,Florida,1870,7
163,Nevada,1870,3
164,South Dakota,1870,4
165,Native American,1870,1
166,Idaho,1870,1
167,Indonesia,1870,2
168,"United States, ns",1870,1
169,Luxembourg,1870,3
170,Alaska,1870,1
171,Cuba,1870,1
172,Ireland,1880,8314
173,Iowa,1880,7558
174,Colorado,1880,26058
175,Illinois,1880,13026
176,New York,1880,15551
177,Michigan,1880,3673
178,Pennsylvania,1880,11408
179,Ohio,1880,11776
180,Wisconsin,1880,3899
181,Missouri,1880,12609
182,New Hampshire,1880,739
183,Canada,1880,5821
184,Massachusetts,1880,3666
185,Italy,1880,335
186,Kansas,1880,4035
187,Germany,1880,6889
188,Switzerland,1880,528
189,Virginia,1880,2456
190,Austria,1880,438
191,Tennessee,1880,1979
192,Scotland,1880,1681
193,New Jersey,1880,1479
194,Indiana,1880,5233
195,Nebraska,1880,952
196,England,1880,8830
197,Poland,1880,173
198,Wales,1880,1231
199,Other USSR/Russia,1880,296
200,Belgium,1880,49
201,France,1880,888
202,Maryland,1880,1076
203,Minnesota,1880,694
204,California,1880,636
205,Kentucky,1880,3795
206,Netherlands,1880,114
207,Czechoslovakia,1880,96
208,New Mexico,1880,9524
209,Louisiana,1880,421
210,Connecticut,1880,1226
211,Arkansas,1880,759
212,China,1880,610
213,Maine,1880,2621
214,Alabama,1880,453
215,Denmark,1880,511
216,Rhode Island,1880,380
217,Georgia,1880,925
218,Vermont,1880,1571
219,Delaware,1880,234
220,Norway,1880,360
221,Florida,1880,66
222,North Carolina,1880,861
223,Texas,1880,1053
224,Australia and New Zealand,1880,51
225,Mississippi,1880,492
226,Nevada,1880,87
227,Montana,1880,50
228,Hungary,1880,48
229,Arizona,1880,13
230,Abroad (unknown) or at sea,1880,34
231,Wyoming,1880,240
232,Washington,1880,28
233,Sweden,1880,2176
234,South Carolina,1880,201
235,Utah,1880,239
236,Malta,1880,2
237,SOUTH AMERICA,1880,39
238,Portugal,1880,13
239,Mexico,1880,190
240,District of Columbia,1880,156
241,West Virginia,1880,410
242,AFRICA,1880,14
243,Luxembourg,1880,9
244,"United States, ns",1880,40
245,Oregon,1880,80
246,West Indies,1880,22
247,Oklahoma,1880,83
248,Cuba,1880,16
249,South Dakota,1880,56
250,Spain,1880,32
251,Japan,1880,1
252,"Europe, ns",1880,12
253,Finland,1880,12
254,Indonesia,1880,13
255,Atlantic Islands,1880,7
256,India,1880,16
257,Greece,1880,3
258,Idaho,1880,24
259,Romania,1880,1
260,Native American,1880,8
