,Country,Year,Prisoners
0,Alaska,1878,0.0
1,Alaska,1880,0.0
2,Alaska,1882,0.0
3,Alaska,1884,0.0
4,Alaska,1886,0.0
5,Alaska,1888,0.0
6,Alaska,1890,0.0
7,Alaska,1892,0.0
8,Alaska,1896,0.0
9,Alaska,1900,0.0
10,Alaska,1902,0.0
11,Alaska,1906,0.0
12,Alaska,1908,0.0
13,Alaska,1912,0.0
14,Alaska,1914,0.0
15,Alaska,1916,1.0
16,Alaska,1918,0.0
17,Alaska,1920,0.0
18,Alaska,1922,0.0
19,Alaska,1924,0.0
20,Alaska,1926,0.0
21,Alaska,1928,0.0
22,Alaska,1930,0.0
23,Alaska,1932,0.0
24,Alaska,1934,0.0
25,Alaska,1936,0.0
26,Alaska,1938,0.0
27,Alaska,1940,0.0
28,Albania,1878,0.0
29,Albania,1880,0.0
30,Albania,1882,0.0
31,Albania,1884,0.0
32,Albania,1886,0.0
33,Albania,1888,0.0
34,Albania,1890,0.0
35,Albania,1892,0.0
36,Albania,1896,0.0
37,Albania,1900,0.0
38,Albania,1902,0.0
39,Albania,1906,0.0
40,Albania,1908,0.0
41,Albania,1912,0.0
42,Albania,1914,0.0
43,Albania,1916,0.0
44,Albania,1918,0.0
45,Albania,1920,0.0
46,Albania,1922,0.0
47,Albania,1924,0.0
48,Albania,1926,0.0
49,Albania,1928,0.0
50,Albania,1930,0.0
51,Albania,1932,1.0
52,Albania,1934,0.0
53,Albania,1936,0.0
54,Albania,1938,0.0
55,Albania,1940,0.0
56,Africa,1878,0.0
57,Africa,1880,0.0
58,Africa,1882,0.0
59,Africa,1884,0.0
60,Africa,1886,0.0
61,Africa,1888,0.0
62,Africa,1890,0.0
63,Africa,1892,0.0
64,Africa,1896,0.0
65,Africa,1900,0.0
66,Africa,1902,0.0
67,Africa,1906,0.0
68,Africa,1908,0.0
69,Africa,1912,0.0
70,Africa,1914,0.0
71,Africa,1916,0.0
72,Africa,1918,0.0
73,Africa,1920,0.0
74,Africa,1922,0.0
75,Africa,1924,0.0
76,Africa,1926,0.0
77,Africa,1928,0.0
78,Africa,1930,0.0
79,Africa,1932,0.0
80,Africa,1934,0.0
81,Africa,1936,0.0
82,Africa,1938,1.0
83,Africa,1940,0.0
84,Alsace,1878,0.0
85,Alsace,1880,0.0
86,Alsace,1882,0.0
87,Alsace,1884,1.0
88,Alsace,1886,0.0
89,Alsace,1888,0.0
90,Alsace,1890,0.0
91,Alsace,1892,0.0
92,Alsace,1896,0.0
93,Alsace,1900,0.0
94,Alsace,1902,0.0
95,Alsace,1906,0.0
96,Alsace,1908,0.0
97,Alsace,1912,0.0
98,Alsace,1914,0.0
99,Alsace,1916,0.0
100,Alsace,1918,0.0
101,Alsace,1920,0.0
102,Alsace,1922,0.0
103,Alsace,1924,0.0
104,Alsace,1926,0.0
105,Alsace,1928,0.0
106,Alsace,1930,0.0
107,Alsace,1932,0.0
108,Alsace,1934,0.0
109,Alsace,1936,0.0
110,Alsace,1938,0.0
111,Alsace,1940,0.0
112,Argentine,1878,0.0
113,Argentine,1880,0.0
114,Argentine,1882,0.0
115,Argentine,1884,0.0
116,Argentine,1886,0.0
117,Argentine,1888,0.0
118,Argentine,1890,0.0
119,Argentine,1892,0.0
120,Argentine,1896,0.0
121,Argentine,1900,0.0
122,Argentine,1902,0.0
123,Argentine,1906,0.0
124,Argentine,1908,0.0
125,Argentine,1912,0.0
126,Argentine,1914,0.0
127,Argentine,1916,0.0
128,Argentine,1918,1.0
129,Argentine,1920,0.0
130,Argentine,1922,0.0
131,Argentine,1924,1.0
132,Argentine,1926,0.0
133,Argentine,1928,0.0
134,Argentine,1930,0.0
135,Argentine,1932,0.0
136,Argentine,1934,0.0
137,Argentine,1936,0.0
138,Argentine,1938,0.0
139,Argentine,1940,0.0
140,Assyria,1878,0.0
141,Assyria,1880,0.0
142,Assyria,1882,0.0
143,Assyria,1884,0.0
144,Assyria,1886,0.0
145,Assyria,1888,0.0
146,Assyria,1890,0.0
147,Assyria,1892,0.0
148,Assyria,1896,0.0
149,Assyria,1900,0.0
150,Assyria,1902,0.0
151,Assyria,1906,0.0
152,Assyria,1908,0.0
153,Assyria,1912,0.0
154,Assyria,1914,0.0
155,Assyria,1916,0.0
156,Assyria,1918,0.0
157,Assyria,1920,0.0
158,Assyria,1922,0.0
159,Assyria,1924,0.0
160,Assyria,1926,1.0
161,Assyria,1928,0.0
162,Assyria,1930,0.0
163,Assyria,1932,0.0
