,Location,Year,Prisoners,Region
0,Albania,1878,0,Central & Eastern Europe
1,Albania,1880,0,Central & Eastern Europe
2,Albania,1882,0,Central & Eastern Europe
3,Albania,1884,0,Central & Eastern Europe
4,Albania,1886,0,Central & Eastern Europe
5,Albania,1888,0,Central & Eastern Europe
6,Albania,1890,0,Central & Eastern Europe
7,Albania,1892,0,Central & Eastern Europe
8,Albania,1896,0,Central & Eastern Europe
9,Albania,1900,0,Central & Eastern Europe
10,Albania,1902,0,Central & Eastern Europe
11,Albania,1906,0,Central & Eastern Europe
12,Albania,1908,0,Central & Eastern Europe
13,Albania,1912,0,Central & Eastern Europe
14,Albania,1914,0,Central & Eastern Europe
15,Albania,1916,0,Central & Eastern Europe
16,Albania,1918,0,Central & Eastern Europe
17,Albania,1920,0,Central & Eastern Europe
18,Albania,1922,0,Central & Eastern Europe
19,Albania,1924,0,Central & Eastern Europe
20,Albania,1926,0,Central & Eastern Europe
21,Albania,1928,0,Central & Eastern Europe
22,Albania,1930,0,Central & Eastern Europe
23,Albania,1932,1,Central & Eastern Europe
24,Albania,1934,0,Central & Eastern Europe
25,Albania,1936,0,Central & Eastern Europe
26,Albania,1938,0,Central & Eastern Europe
27,Albania,1940,0,Central & Eastern Europe
28,Africa,1878,0,
29,Africa,1880,0,
30,Africa,1882,0,
31,Africa,1884,0,
32,Africa,1886,0,
33,Africa,1888,0,
34,Africa,1890,0,
35,Africa,1892,0,
36,Africa,1896,0,
37,Africa,1900,0,
38,Africa,1902,0,
39,Africa,1906,0,
40,Africa,1908,0,
41,Africa,1912,0,
42,Africa,1914,0,
43,Africa,1916,0,
44,Africa,1918,0,
45,Africa,1920,0,
46,Africa,1922,0,
47,Africa,1924,0,
48,Africa,1926,0,
49,Africa,1928,0,
50,Africa,1930,0,
51,Africa,1932,0,
52,Africa,1934,0,
53,Africa,1936,0,
54,Africa,1938,1,
55,Africa,1940,0,
56,Alsace,1878,0,
57,Alsace,1880,0,
58,Alsace,1882,0,
59,Alsace,1884,1,
60,Alsace,1886,0,
61,Alsace,1888,0,
62,Alsace,1890,0,
63,Alsace,1892,0,
64,Alsace,1896,0,
65,Alsace,1900,0,
66,Alsace,1902,0,
67,Alsace,1906,0,
68,Alsace,1908,0,
69,Alsace,1912,0,
70,Alsace,1914,0,
71,Alsace,1916,0,
72,Alsace,1918,0,
73,Alsace,1920,0,
74,Alsace,1922,0,
75,Alsace,1924,0,
76,Alsace,1926,0,
77,Alsace,1928,0,
78,Alsace,1930,0,
79,Alsace,1932,0,
80,Alsace,1934,0,
81,Alsace,1936,0,
82,Alsace,1938,0,
83,Alsace,1940,0,
84,Argentine,1878,0,
85,Argentine,1880,0,
86,Argentine,1882,0,
87,Argentine,1884,0,
88,Argentine,1886,0,
89,Argentine,1888,0,
90,Argentine,1890,0,
91,Argentine,1892,0,
92,Argentine,1896,0,
93,Argentine,1900,0,
94,Argentine,1902,0,
95,Argentine,1906,0,
96,Argentine,1908,0,
97,Argentine,1912,0,
98,Argentine,1914,0,
99,Argentine,1916,0,
100,Argentine,1918,1,
101,Argentine,1920,0,
102,Argentine,1922,0,
103,Argentine,1924,1,
104,Argentine,1926,0,
105,Argentine,1928,0,
106,Argentine,1930,0,
107,Argentine,1932,0,
108,Argentine,1934,0,
109,Argentine,1936,0,
110,Argentine,1938,0,
111,Argentine,1940,0,
112,Assyria,1878,0,
113,Assyria,1880,0,
114,Assyria,1882,0,
115,Assyria,1884,0,
116,Assyria,1886,0,
117,Assyria,1888,0,
118,Assyria,1890,0,
119,Assyria,1892,0,
120,Assyria,1896,0,
121,Assyria,1900,0,
122,Assyria,1902,0,
123,Assyria,1906,0,
124,Assyria,1908,0,
125,Assyria,1912,0,
126,Assyria,1914,0,
127,Assyria,1916,0,
128,Assyria,1918,0,
129,Assyria,1920,0,
130,Assyria,1922,0,
131,Assyria,1924,0,
132,Assyria,1926,1,
133,Assyria,1928,0,
134,Assyria,1930,0,
135,Assyria,1932,0,
136,Assyria,1934,0,
137,Assyria,1936,0,
138,Assyria,1938,0,
139,Assyria,1940,0,
140,Australia,1878,0,Oceania
141,Australia,1880,0,Oceania
142,Australia,1882,1,Oceania
143,Australia,1884,0,Oceania
144,Australia,1886,1,Oceania
145,Australia,1888,0,Oceania
146,Australia,1890,1,Oceania
147,Australia,1892,1,Oceania
148,Australia,1896,1,Oceania
149,Australia,1900,1,Oceania
150,Australia,1902,1,Oceania
151,Australia,1906,3,Oceania
152,Australia,1908,0,Oceania
153,Australia,1912,0,Oceania
154,Australia,1914,3,Oceania
155,Australia,1916,1,Oceania
156,Australia,1918,0,Oceania
157,Australia,1920,0,Oceania
158,Australia,1922,15,Oceania
159,Australia,1924,0,Oceania
160,Australia,1926,1,Oceania
161,Australia,1928,0,Oceania
162,Australia,1930,0,Oceania
163,Australia,1932,0,Oceania
164,Australia,1934,0,Oceania
165,Australia,1936,0,Oceania
166,Australia,1938,0,Oceania
167,Australia,1940,0,Oceania
168,Austria,1878,1,Western Europe
169,Austria,1880,1,Western Europe
170,Austria,1882,0,Western Europe
