,Location,Year,Prisoners,Region
0,Albania,1878,0,Central & Eastern Europe
1,Albania,1880,0,Central & Eastern Europe
2,Albania,1882,0,Central & Eastern Europe
3,Albania,1884,0,Central & Eastern Europe
4,Albania,1886,0,Central & Eastern Europe
5,Albania,1888,0,Central & Eastern Europe
6,Albania,1890,0,Central & Eastern Europe
7,Albania,1892,0,Central & Eastern Europe
8,Albania,1896,0,Central & Eastern Europe
9,Albania,1900,0,Central & Eastern Europe
10,Albania,1902,0,Central & Eastern Europe
11,Albania,1906,0,Central & Eastern Europe
12,Albania,1908,0,Central & Eastern Europe
13,Albania,1912,0,Central & Eastern Europe
14,Albania,1914,0,Central & Eastern Europe
15,Albania,1916,0,Central & Eastern Europe
16,Albania,1918,0,Central & Eastern Europe
17,Albania,1920,0,Central & Eastern Europe
18,Albania,1922,0,Central & Eastern Europe
19,Albania,1924,0,Central & Eastern Europe
20,Albania,1926,0,Central & Eastern Europe
21,Albania,1928,0,Central & Eastern Europe
22,Albania,1930,0,Central & Eastern Europe
23,Albania,1932,1,Central & Eastern Europe
24,Albania,1934,0,Central & Eastern Europe
25,Albania,1936,0,Central & Eastern Europe
26,Albania,1938,0,Central & Eastern Europe
27,Albania,1940,0,Central & Eastern Europe
28,Argentina,1878,0,South America
29,Argentina,1880,0,South America
30,Argentina,1882,0,South America
31,Argentina,1884,0,South America
32,Argentina,1886,0,South America
33,Argentina,1888,0,South America
34,Argentina,1890,1,South America
35,Argentina,1892,0,South America
36,Argentina,1896,0,South America
37,Argentina,1900,0,South America
38,Argentina,1902,0,South America
39,Argentina,1906,0,South America
40,Argentina,1908,0,South America
41,Argentina,1912,0,South America
42,Argentina,1914,0,South America
43,Argentina,1916,0,South America
44,Argentina,1918,1,South America
45,Argentina,1920,0,South America
46,Argentina,1922,0,South America
47,Argentina,1924,2,South America
48,Argentina,1926,0,South America
49,Argentina,1928,0,South America
50,Argentina,1930,0,South America
51,Argentina,1932,0,South America
52,Argentina,1934,0,South America
53,Argentina,1936,0,South America
54,Argentina,1938,0,South America
55,Argentina,1940,0,South America
56,Australia,1878,0,Oceania
57,Australia,1880,0,Oceania
58,Australia,1882,1,Oceania
59,Australia,1884,0,Oceania
60,Australia,1886,1,Oceania
61,Australia,1888,0,Oceania
62,Australia,1890,1,Oceania
63,Australia,1892,1,Oceania
64,Australia,1896,1,Oceania
65,Australia,1900,1,Oceania
66,Australia,1902,1,Oceania
67,Australia,1906,3,Oceania
68,Australia,1908,0,Oceania
69,Australia,1912,0,Oceania
70,Australia,1914,3,Oceania
71,Australia,1916,1,Oceania
72,Australia,1918,0,Oceania
73,Australia,1920,0,Oceania
74,Australia,1922,15,Oceania
75,Australia,1924,0,Oceania
76,Australia,1926,1,Oceania
77,Australia,1928,0,Oceania
78,Australia,1930,0,Oceania
79,Australia,1932,0,Oceania
80,Australia,1934,0,Oceania
81,Australia,1936,0,Oceania
82,Australia,1938,0,Oceania
83,Australia,1940,0,Oceania
84,Austria,1878,1,Western Europe
85,Austria,1880,1,Western Europe
86,Austria,1882,0,Western Europe
87,Austria,1884,2,Western Europe
88,Austria,1886,0,Western Europe
89,Austria,1888,5,Western Europe
90,Austria,1890,1,Western Europe
91,Austria,1892,3,Western Europe
92,Austria,1896,4,Western Europe
93,Austria,1900,3,Western Europe
94,Austria,1902,12,Western Europe
95,Austria,1906,5,Western Europe
96,Austria,1908,14,Western Europe
97,Austria,1912,13,Western Europe
98,Austria,1914,11,Western Europe
99,Austria,1916,16,Western Europe
100,Austria,1918,8,Western Europe
101,Austria,1920,13,Western Europe
102,Austria,1922,2,Western Europe
103,Austria,1924,15,Western Europe
104,Austria,1926,16,Western Europe
105,Austria,1928,2,Western Europe
106,Austria,1930,7,Western Europe
107,Austria,1932,7,Western Europe
108,Austria,1934,2,Western Europe
109,Austria,1936,2,Western Europe
110,Austria,1938,1,Western Europe
111,Austria,1940,2,Western Europe
112,Belgium,1878,0,Western Europe
113,Belgium,1880,0,Western Europe
114,Belgium,1882,0,Western Europe
115,Belgium,1884,0,Western Europe
116,Belgium,1886,1,Western Europe
117,Belgium,1888,0,Western Europe
118,Belgium,1890,0,Western Europe
119,Belgium,1892,3,Western Europe
120,Belgium,1896,2,Western Europe
121,Belgium,1900,0,Western Europe
122,Belgium,1902,0,Western Europe
123,Belgium,1906,0,Western Europe
124,Belgium,1908,0,Western Europe
125,Belgium,1912,0,Western Europe
126,Belgium,1914,0,Western Europe
127,Belgium,1916,0,Western Europe
128,Belgium,1918,0,Western Europe
129,Belgium,1920,0,Western Europe
130,Belgium,1922,0,Western Europe
131,Belgium,1924,1,Western Europe
132,Belgium,1926,2,Western Europe
133,Belgium,1928,3,Western Europe
134,Belgium,1930,1,Western Europe
135,Belgium,1932,0,Western Europe
136,Belgium,1934,0,Western Europe
137,Belgium,1936,1,Western Europe
138,Belgium,1938,0,Western Europe
139,Belgium,1940,0,Western Europe
140,Czech Republic,1878,0,Central & Eastern Europe
141,Czech Republic,1880,1,Central & Eastern Europe
142,Czech Republic,1882,0,Central & Eastern Europe
