Term Legend,Race Legend,Crime Legend,Countries Legend,State Abbreviations,State Names
,,,,,
L: Life,W:White,L: Larceny,I: Italy,AL,Alabama
D: Death,B: Black,F: Forgery,E: England,AK,Alaska
,M: Mexican,M: Murder,F: France,AZ,Arizona
,MU: Mulatto ,B: Burglary ,G: Germany,AR,Arkansas
,I: Indian,A: Assault ,IR: Ireland,CA,California
,,MA: Manslaughter,C: Canada ,CO,Colorado
,,RA: Rape,A: Austria,CT,Connecticut
,,C: Counterfeiting ,M: Mexico,DE,Delaware
,,E: Embezzlement,P: Prussia,DC,District of Columbia
,,BI: Bigamy,R: Russia,FL,Florida
,,AIM: Assault w/ Intent to Murder,S: Scotland,GA,Georgia
,,AIR: Assault w/ Intent to Rape,IOM: Isle of Man,HI,Hawaii
,,CON: Confidence Games,N: Norway,ID,Idaho
,,AIK: Assault w/ Intent to Kill ,NS: Nova Scotia,IL,Illinois
,,AIROB: Assault w/ Intent to Rob,PO: Poland,IN,Indiana
,,GL: Grand Larceny,CU: Cuba,IA,Iowa
,,R: Robbery,W: Wales,KS,Kansas
,,FP: False Pretenses,SAX: Saxony,KY,Kentucky
,,CAN: Crime Against Nature,BOH: Bohemia,LA,Louisiana
,,RSG: Receiving Stolen Goods,IT: Indian Territory,ME,Maine
,,BUG: Buggary,PE: Prince Edward's Island,MD,Maryland
,,MAY: Mayhem,D: Denmark,MA,Massachusetts
,,U: Uttering,SW: Sweden,MI,Michigan
,,LAB: Larceny as Bailee,,MN,Minnesota
,,VM: Voluntary Manslaughter,,MS,Mississippi
,,LFP: Larceny from Person,,MO,Missouri
,,UF: Uttering Forgery,,MT,Montana
,,AR: Arson,,NE,Nebraska
,,AT: Accessory To,,NV,Nevada
,,FA: Felonious Assault ,,NH,New Hampshire
,,P: Perjury,,NJ,New Jersey
,,,,NM,New Mexico
,,,,NY,New York
,,,,NC,North Carolina
,,,,ND,North Dakota
,,,,OH,Ohio
,,,,OK,Oklahoma
,,,,OR,Oregon
,,,,PA,Pennsylvania
,,,,PR,Puerto Rico
,,,,RI,Rhode Island
,,,,SC,South Carolina
,,,,SD,South Dakota
,,,,TN,Tennessee
,,,,TX,Texas
,,,,UT,Utah
,,,,VT,Vermont
,,,,VA,Virginia
,,,,VI,Virgin Islands
,,,,WA,Washington
,,,,WV,West Virginia
,,,,WI,Wisconsin
,,,,WY,Wyoming
