Code,Label,Variable
0,Vacant unit,GQ
1,Households under 1970 definition,GQ
2,Additional households under 1990 definition,GQ
3,Group quarters--Institutions,GQ
4,Other group quarters,GQ
5,Additional households under 2000 definition,GQ
6,Fragment,GQ
1,Male,SEX
2,Female,SEX
1,White,RACE
2,Black/African American/Negro,RACE
3,American Indian or Alaska Native,RACE
4,Chinese,RACE
5,Japanese,RACE
6,Other Asian or Pacific Islander,RACE
7,"Other race, nec",RACE
8,Two major races,RACE
9,Three or more major races,RACE
100,White,RACED
110,Spanish write_in,RACED
120,Blank (white) (1850),RACED
130,Portuguese,RACED
140,Mexican (1930),RACED
150,Puerto Rican (1910 Hawaii),RACED
200,Black/African American/Negro,RACED
210,Mulatto,RACED
300,American Indian/Alaska Native,RACED
302,Apache,RACED
303,Blackfoot,RACED
304,Cherokee,RACED
305,Cheyenne,RACED
306,Chickasaw,RACED
307,Chippewa,RACED
308,Choctaw,RACED
309,Comanche,RACED
310,Creek,RACED
311,Crow,RACED
312,Iroquois,RACED
313,Kiowa,RACED
314,Lumbee,RACED
315,Navajo,RACED
316,Osage,RACED
317,Paiute,RACED
318,Pima,RACED
319,Potawatomi,RACED
320,Pueblo,RACED
321,Seminole,RACED
322,Shoshone,RACED
323,Sioux,RACED
324,"Tlingit (Tlingit_Haida, 2000/ACS)",RACED
325,Tohono O Odham,RACED
326,All other tribes (1990),RACED
328,Hopi,RACED
329,Central American Indian,RACED
330,Spanish American Indian,RACED
350,Delaware,RACED
351,Latin American Indian,RACED
352,Puget Sound Salish,RACED
353,Yakama,RACED
354,Yaqui,RACED
355,Colville,RACED
356,Houma,RACED
357,Menominee,RACED
358,Yuman,RACED
359,South American Indian,RACED
360,Mexican American Indian,RACED
361,"Other Amer. Indian tribe (2000,ACS)",RACED
362,"2+ Amer. Indian tribes (2000,ACS)",RACED
370,Alaskan Athabaskan,RACED
371,Aleut,RACED
372,Eskimo,RACED
373,Alaskan mixed,RACED
374,Inupiat,RACED
375,Yup'ik,RACED
379,"Other Alaska Native tribe(s) (2000,ACS)",RACED
398,"Both Am. Ind. and Alaska Native (2000,ACS)",RACED
399,Tribe not specified,RACED
400,Chinese,RACED
410,Taiwanese,RACED
420,Chinese and Taiwanese,RACED
500,Japanese,RACED
600,Filipino,RACED
610,Asian Indian (Hindu 1920_1940),RACED
620,Korean,RACED
630,Hawaiian,RACED
631,"Hawaiian and Asian (1900,1920)",RACED
632,"Hawaiian and European (1900,1920)",RACED
634,Hawaiian mixed,RACED
640,Vietnamese,RACED
641,Bhutanese,RACED
642,Mongolian,RACED
643,Nepalese,RACED
650,"Other Asian or Pacific Islander (1920,1980)",RACED
651,Asian only (CPS),RACED
652,Pacific Islander only (CPS),RACED
653,"Asian or Pacific Islander, n.s. (1990 Internal Census files)",RACED
660,Cambodian,RACED
661,Hmong,RACED
662,Laotian,RACED
663,Thai,RACED
664,Bangladeshi,RACED
665,Burmese,RACED
666,Indonesian,RACED
667,Malaysian,RACED
668,Okinawan,RACED
669,Pakistani,RACED
670,Sri Lankan,RACED
671,"Other Asian, n.e.c.",RACED
672,"Asian, not specified",RACED
673,Chinese and Japanese,RACED
674,Chinese and Filipino,RACED
675,Chinese and Vietnamese,RACED
676,Chinese and Asian write_in,RACED
677,Japanese and Filipino,RACED
678,Asian Indian and Asian write_in,RACED
679,Other Asian race combinations,RACED
680,Samoan,RACED
681,Tahitian,RACED
682,Tongan,RACED
683,Other Polynesian (1990),RACED
684,"1+ other Polynesian races (2000,ACS)",RACED
685,Guamanian/Chamorro,RACED
686,Northern Mariana Islander,RACED
687,Palauan,RACED
688,Other Micronesian (1990),RACED
689,"1+ other Micronesian races (2000,ACS)",RACED
690,Fijian,RACED
691,Other Melanesian (1990),RACED
692,"1+ other Melanesian races (2000,ACS)",RACED
698,2+ PI races from 2+ PI regions,RACED
699,"Pacific Islander, n.s.",RACED
700,"Other race, n.e.c.",RACED
801,White and Black,RACED
802,White and AIAN,RACED
810,White and Asian,RACED
811,White and Chinese,RACED
812,White and Japanese,RACED
813,White and Filipino,RACED
814,White and Asian Indian,RACED
815,White and Korean,RACED
816,White and Vietnamese,RACED
817,White and Asian write_in,RACED
818,White and other Asian race(s),RACED
819,White and two or more Asian groups,RACED
820,White and PI,RACED
821,White and Native Hawaiian,RACED
822,White and Samoan,RACED
823,White and Guamanian,RACED
824,White and PI write_in,RACED
825,White and other PI race(s),RACED
826,White and other race write_in,RACED
827,"White and other race, n.e.c.",RACED
830,Black and AIAN,RACED
831,Black and Asian,RACED
832,Black and Chinese,RACED
833,Black and Japanese,RACED
834,Black and Filipino,RACED
835,Black and Asian Indian,RACED
836,Black and Korean,RACED
837,Black and Asian write_in,RACED
838,Black and other Asian race(s),RACED
840,Black and PI,RACED
841,Black and PI write_in,RACED
842,Black and other PI race(s),RACED
845,Black and other race write_in,RACED
850,AIAN and Asian,RACED
851,AIAN and Filipino (2000 1%),RACED
852,AIAN and Asian Indian,RACED
853,AIAN and Asian write_in (2000 1%),RACED
854,AIAN and other Asian race(s),RACED
855,AIAN and PI,RACED
856,AIAN and other race write_in,RACED
860,Asian and PI,RACED
861,Chinese and Hawaiian,RACED
862,"Chinese, Filipino, Hawaiian (2000 1%)",RACED
863,Japanese and Hawaiian (2000 1%),RACED
864,Filipino and Hawaiian,RACED
865,Filipino and PI write_in,RACED
866,Asian Indian and PI write_in (2000 1%),RACED
867,Asian write_in and PI write_in,RACED
868,Other Asian race(s) and PI race(s),RACED
869,Japanese and Korean (ACS),RACED
880,Asian and other race write_in,RACED
881,Chinese and other race write_in,RACED
882,Japanese and other race write_in,RACED
883,Filipino and other race write_in,RACED
884,Asian Indian and other race write_in,RACED
885,Asian write_in and other race write_in,RACED
886,Other Asian race(s) and other race write_in,RACED
887,Chinese and Korean,RACED
890,PI and other race write_in:,RACED
891,PI write_in and other race write_in,RACED
892,Other PI race(s) and other race write_in,RACED
893,Native Hawaiian or PI other race(s),RACED
899,API and other race write_in,RACED
901,"White, Black, AIAN",RACED
902,"White, Black, Asian",RACED
903,"White, Black, PI",RACED
904,"White, Black, other race write_in",RACED
905,"White, AIAN, Asian",RACED
906,"White, AIAN, PI",RACED
907,"White, AIAN, other race write_in",RACED
910,"White, Asian, PI",RACED
911,"White, Chinese, Hawaiian",RACED
912,"White, Chinese, Filipino, Hawaiian (2000 1%)",RACED
913,"White, Japanese, Hawaiian (2000 1%)",RACED
914,"White, Filipino, Hawaiian",RACED
915,"Other White, Asian race(s), PI race(s)",RACED
916,"White, AIAN and Filipino",RACED
917,"White, Black, and Filipino",RACED
920,"White, Asian, other race write_in",RACED
921,"White, Filipino, other race write_in (2000 1%)",RACED
922,"White, Asian write_in, other race write_in (2000 1%)",RACED
923,"Other White, Asian race(s), other race write_in (2000 1%)",RACED
925,"White, PI, other race write_in",RACED
930,"Black, AIAN, Asian",RACED
931,"Black, AIAN, PI",RACED
932,"Black, AIAN, other race write_in",RACED
933,"Black, Asian, PI",RACED
934,"Black, Asian, other race write_in",RACED
935,"Black, PI, other race write_in",RACED
940,"AIAN, Asian, PI",RACED
941,"AIAN, Asian, other race write_in",RACED
942,"AIAN, PI, other race write_in",RACED
943,"Asian, PI, other race write_in",RACED
944,"Asian (Chinese, Japanese, Korean, Vietnamese); and Native Hawaiian or PI; and Other",RACED
949,2 or 3 races (CPS),RACED
950,"White, Black, AIAN, Asian",RACED
951,"White, Black, AIAN, PI",RACED
952,"White, Black, AIAN, other race write_in",RACED
953,"White, Black, Asian, PI",RACED
954,"White, Black, Asian, other race write_in",RACED
955,"White, Black, PI, other race write_in",RACED
960,"White, AIAN, Asian, PI",RACED
961,"White, AIAN, Asian, other race write_in",RACED
962,"White, AIAN, PI, other race write_in",RACED
963,"White, Asian, PI, other race write_in",RACED
964,"White, Chinese, Japanese, Native Hawaiian",RACED
970,"Black, AIAN, Asian, PI",RACED
971,"Black, AIAN, Asian, other race write_in",RACED
972,"Black, AIAN, PI, other race write_in",RACED
973,"Black, Asian, PI, other race write_in",RACED
974,"AIAN, Asian, PI, other race write_in",RACED
975,"AIAN, Asian, PI, Hawaiian other race write_in",RACED
976,"Two specified Asian (Chinese and other Asian, Chinese and Japanese, Japanese and other Asian, Korean and other Asian); Native Hawaiian/PI; and Other Race",RACED
980,"White, Black, AIAN, Asian, PI",RACED
981,"White, Black, AIAN, Asian, other race write_in",RACED
982,"White, Black, AIAN, PI, other race write_in",RACED
983,"White, Black, Asian, PI, other race write_in",RACED
984,"White, AIAN, Asian, PI, other race write_in",RACED
985,"Black, AIAN, Asian, PI, other race write_in",RACED
986,"Black, AIAN, Asian, PI, Hawaiian, other race write_in",RACED
989,4 or 5 races (CPS),RACED
