,1878,1880,1882,1884,1886,1888,1890,1892,1896,1900,1902,1906,1908,1912,1914,1916,1918,1920,1922,1924,1926,1928,1930,1932,1934,1936,1938,1940
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
Alsace,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Argentine,,,,,,,,,,,,,,,,,1,0,,1,0,0,0,0,0,0,0,0
Assyria,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0
Australia,,,1,0,1,0,1,1,1,1,1,3,0,0,3,1,0,0,15,0,1,0,0,0,0,0,0,0
Austria,1,1,0,2,0,5,1,3,4,3,12,5,14,13,11,16,8,13,2,15,16,2,7,7,2,2,1,2
Belgium,,,,,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,1,0,0
Bermuda Islands,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0
Bohemia,,1,0,0,0,0,0,,,,,,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Brazil,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0
British Columbia,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British West Indies,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1
Bulgaria,,,,,,,,,,,,0,1,1,0,0,2,1,3,2,4,1,0,0,0,0,1,0
Canada,9,6,7,11,7,14,21,15,12,5,6,7,5,3,7,10,5,7,6,14,7,9,3,6,4,2,7,2
Cape Good Hope,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central America,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Czecho-Slovakia,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0
China,,,,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Costa Rica,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0
Crete,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
