,1878,1880,1882,1884,1886,1888,1890,1892,1896,1900,1902,1906,1908,1912,1914,1916,1918,1920,1922,1924,1926,1928,1930,1932,1934,1936,1938,1940
Albania,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0
Argentina,,,,,,,1,,,,,,,,,,1,0,,2,0,0,0,0,0,0,0,0
Australia,,,1,0,1,0,1,1,1,1,1,3,0,0,3,1,0,0,15,0,1,0,0,0,0,0,0,0
Austria,1,1,0,2,0,5,1,3,4,3,12,5,14,13,11,16,8,13,2,15,16,2,7,7,2,2,1,2
Belgium,,,,,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,1,0,0
Czech Republic,,1,0,0,0,0,0,,,,,,,,1,1,0,0,1,1,0,0,1,0,0,0,0,0
Brazil,,,,,,,,,,,,1,,,,,,,,1,0,0,0,0,1,0,0,0
Bulgaria,,,,,,,,,,,,0,1,1,0,0,2,1,3,2,4,1,0,0,0,0,1,0
Canada,9,7,8,11,8,14,23,16,12,5,6,11,11,3,7,10,5,7,7,15,7,9,3,6,4,2,7,2
China,,,,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Costa Rica,,,,,,,,,,,,,,,,,,3,,,1,0,0,0,0,0,0,0
Croatia,,,,,,,,,,,,,,,,,,,,,,,2,,,1,0,0
Cuba,,,1,1,1,0,0,2,1,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0
Denmark,,,,1,1,1,0,3,2,2,0,3,2,2,0,0,0,0,2,1,1,0,1,0,1,0,1,2
Egypt,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Finland,,,,,,,,,,,,0,1,0,0,2,0,1,0,1,2,0,2,0,0,0,1,0
France,4,1,1,3,1,5,3,5,4,2,2,2,1,2,4,1,0,1,3,0,1,1,3,5,0,0,0,0
Germany,7,12,13,15,12,14,22,27,29,14,11,17,22,19,19,11,8,2,9,12,13,4,15,8,8,5,2,1
Greece,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,7,2,5,1,10,4,8,1,2,1,4,0,0
Hungary,,,,1,0,0,2,,1,0,1,1,4,1,1,3,1,1,0,0,1,1,0,1,0,1,1,0
India,,,,,,,,,,,,,,,1,1,1,,0,1,0,2,0,0,2,1,0,0
Ireland,12,18,15,19,16,24,28,25,14,10,21,6,9,8,8,7,2,1,5,6,6,2,7,5,1,1,1,2
Italy,7,6,4,7,6,5,4,11,9,1,8,8,16,18,25,12,14,5,12,18,22,24,20,17,6,2,5,2
Jamaica,,,,,,1,,,,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Japan,,,,,,,,,1,0,2,1,0,3,3,2,0,2,1,0,0,0,0,0,0,1,0,0
Indonesia,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,,,,,,,,,,,,,,,,2,0,2,1,0,0,0,0,0,0,0,0,0
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Mexico ,1,2,0,1,0,1,3,3,2,0,7,7,28,36,62,62,40,61,70,59,95,91,41,69,51,27,24,10
Montenegro,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0
Netherlands,,,,,1,1,0,,,,,0,1,0,0,1,,0,0,0,0,1,1,1,0,0,0,0
New Zealand,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0
Norway,,,1,1,1,2,1,,,,,0,1,0,1,1,1,0,1,1,1,2,2,2,0,0,0,0
Philippines,,,,,1,,,,,,,,,,,,,,,,,1,1,3,1,0,2,0
Poland,,,,,,1,0,1,0,0,0,0,2,0,0,1,0,0,1,1,2,2,2,2,4,0,0,0
Porto Rico,,,,,,,,,,,,,,1,,,1,,,1,0,0,0,0,0,0,1,0
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
Romania,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Russia,0,1,1,1,0,1,2,2,6,3,1,1,1,3,3,5,10,7,10,8,8,12,8,8,11,7,5,2
Scotland,0,1,2,3,1,2,8,4,5,7,3,4,4,2,4,4,1,1,3,3,7,2,5,2,0,0,0,0
Serbia,,,,,,,,,,,,,,,,,,,2,2,1,1,25,1,2,1,0,0
Thailand,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0
South Africa,,,,,,,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
Spain,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
Sweden,0,0,1,1,1,6,2,5,12,8,4,2,6,4,4,4,1,0,1,1,0,0,6,4,1,1,2,1
Switzerland,,,1,0,1,0,1,2,4,4,2,1,0,1,1,1,1,1,0,1,3,0,0,0,1,0,0,0
Syria,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
United Kingdom,8,12,12,14,15,19,21,33,19,21,9,7,11,12,15,8,9,4,8,3,7,6,4,5,1,3,3,5
