,Year,Race,Confined
0,1878,White,130
1,1878,Black,10
2,1878,Mexican,6
3,1878,Indian,0
4,1878,Asian,0
5,1880,White,202
6,1880,Black,21
7,1880,Mexican,3
8,1880,Indian,0
9,1880,Asian,0
10,1882,White,291
11,1882,Black,22
12,1882,Mexican,9
13,1882,Indian,0
14,1882,Asian,0
15,1884,White,324
16,1884,Black,31
17,1884,Mexican,14
18,1884,Indian,2
19,1884,Asian,1
20,1888,White,351
21,1888,Black,35
22,1888,Mexican,3
23,1888,Indian,0
24,1888,Asian,0
25,1890,White,466
26,1890,Black,31
27,1890,Mexican,17
28,1890,Indian,0
29,1890,Asian,0
30,1892,White,583
31,1892,Black,44
32,1892,Mexican,9
33,1892,Indian,0
34,1892,Asian,1
35,1900,White,374
36,1900,Black,54
37,1900,Mexican,30
38,1900,Indian,0
39,1900,Asian,1
40,1936,White,897
41,1936,Black,54
42,1936,Mexican,186
43,1936,Indian,5
44,1936,Asian,1
45,1938,White,986
46,1938,Black,83
47,1938,Mexican,195
48,1938,Indian,1
49,1938,Asian,2
50,1940,White,889
51,1940,Black,60
52,1940,Mexican,181
53,1940,Indian,1
54,1940,Asian,0
