,variable,column,year,sample,population
0,White,RACE,1870,1870 1%,38687.19000000012
1,Black/African American/Negro,RACE,1870,1870 1%,200.3
2,American Indian or Alaska Native,RACE,1870,1870 1%,99.49
3,White,RACE,1870,1870 1% sample with black oversample,38692.540000000045
4,Black/African American/Negro,RACE,1870,1870 1% sample with black oversample,199.78
5,American Indian or Alaska Native,RACE,1870,1870 1% sample with black oversample,99.49
6,White,RACE,1880,1880 1%,182105.55000000083
7,Black/African American/Negro,RACE,1880,1880 1%,11506.519999999988
8,Chinese,RACE,1880,1880 1%,634.5699999999999
9,American Indian or Alaska Native,RACE,1880,1880 1%,72.25
10,White,RACE,1880,1880 10%,191014.88999998645
11,Chinese,RACE,1880,1880 10%,304.31999999999977
12,Black/African American/Negro,RACE,1880,1880 10%,3289.9600000000164
13,American Indian or Alaska Native,RACE,1880,1880 10%,101.15000000000002
14,White,RACE,1900,1900 5%,528847.6400000663
15,Black/African American/Negro,RACE,1900,1900 5%,8330.219999999988
16,Chinese,RACE,1900,1900 5%,921.2600000000002
17,Japanese,RACE,1900,1900 5%,19.56
18,American Indian or Alaska Native,RACE,1900,1900 5%,38.019999999999996
19,White,RACE,1900,1900 1%,531949.0
20,Chinese,RACE,1900,1900 1%,1305.0
21,Black/African American/Negro,RACE,1900,1900 1%,8213.0
22,American Indian or Alaska Native,RACE,1900,1900 1%,1202.0
23,White,RACE,1900,1900 1% sample with oversamples,526669.2399999842
24,Chinese,RACE,1900,1900 1% sample with oversamples,1239.0800000000002
25,Black/African American/Negro,RACE,1900,1900 1% sample with oversamples,8156.4900000000025
26,American Indian or Alaska Native,RACE,1900,1900 1% sample with oversamples,1400.0
27,White,RACE,1910,1910 1%,778748.0
28,Black/African American/Negro,RACE,1910,1910 1%,11525.0
29,Japanese,RACE,1910,1910 1%,800.0
30,American Indian or Alaska Native,RACE,1910,1910 1%,1505.0
31,White,RACE,1910,1910 1.4% sample with oversamples,777495.4199999352
32,Black/African American/Negro,RACE,1910,1910 1.4% sample with oversamples,10899.919999999971
33,Japanese,RACE,1910,1910 1.4% sample with oversamples,788.8100000000001
34,American Indian or Alaska Native,RACE,1910,1910 1.4% sample with oversamples,1491.9000000000067
35,"Other race, nec",RACE,1910,1910 1.4% sample with oversamples,1219.0700000000002
36,White,RACE,1920,1920 1%,921282.0499999506
37,Black/African American/Negro,RACE,1920,1920 1%,12828.590000000004
38,Japanese,RACE,1920,1920 1%,3219.009999999998
39,Other Asian or Pacific Islander,RACE,1920,1920 1%,214.12
40,American Indian or Alaska Native,RACE,1920,1920 1%,1409.17
41,Chinese,RACE,1920,1920 1%,304.41999999999996
42,White,RACE,1930,1930 1%,1035242.249999807
43,Japanese,RACE,1930,1930 1%,2826.5999999999995
44,Other Asian or Pacific Islander,RACE,1930,1930 1%,302.85
45,Black/African American/Negro,RACE,1930,1930 1%,10599.750000000007
46,Chinese,RACE,1930,1930 1%,1312.3500000000004
47,American Indian or Alaska Native,RACE,1930,1930 1%,100.95
48,White,RACE,1930,1930 5%,1020469.9799999086
49,Japanese,RACE,1930,1930 5%,3130.959999999999
