,YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STATEFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,NATIVITY,CITIZEN,YRSUSA2,LANGUAGE,LANGUAGED,SPEAKENG,RACESING,RACESINGD,OCC1950,IND1950,OCCSCORE
142328,1930,193002,159849,20.19,1930001598492.0,8,24810808901.0,1,5,20.19,2,15,1,100,0,0,40,4000,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
122902,1930,193002,154550,20.05,1930001545502.0,8,23920803100.0,1,1,20.05,2,42,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,290,679,42
72294,1910,191003,1380203,71.71,1910013802031.0,8,11420803101.0,2,2,71.71,2,42,1,100,0,0,414,41400,5,0.0,5.0,1.0,100.0,2.0,1,10,999,0,0
8011,1880,188002,90040,10.15,,8,,1,4,10.16,2,6,1,100,0,0,8,800,2,,,,,,1,10,999,0,0
89160,1920,192001,1946901,95.21,1920019469011.0,8,16810807702.0,1,2,95.21,2,21,1,100,0,0,8,800,1,0.0,0.0,,,2.0,1,10,999,0,0
32331,1900,190001,56512,19.09,1900000565121.0,8,12110800003.0,1,6,19.09,1,22,1,100,0,0,48,4800,1,0.0,0.0,,,2.0,1,10,820,105,9
74218,1910,191003,1424002,71.71,1910014240021.0,8,11820804100.0,4,10,71.71,1,29,1,100,1,100,200,20000,5,3.0,1.0,12.0,1200.0,1.0,1,10,970,506,20
102490,1930,193002,148362,19.75,1930001483622.0,8,22910800100.0,1,10,19.75,2,4,1,100,0,0,8,800,4,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
125076,1930,193002,155136,20.05,1930001551362.0,8,24020803102.0,1,1,20.05,1,36,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,290,468,42
58157,1900,190003,999401,101.26,1900009994011.0,8,11910800500.0,1,3,101.26,1,40,1,100,0,0,150,15010,5,4.0,3.0,,,2.0,1,10,290,449,42
41011,1900,190001,58692,20.3,1900000586921.0,8,12520800001.0,1,2,20.3,2,23,1,100,0,0,26,2600,1,0.0,0.0,,,2.0,1,10,999,0,0
50874,1900,190001,61266,20.21,1900000612661.0,8,13010800002.0,1,1,20.21,1,36,1,100,0,0,453,45300,5,2.0,5.0,,,2.0,1,10,650,239,24
110803,1930,193002,150694,19.99,1930001506942.0,8,23210803702.0,1,2,19.99,2,35,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
153665,1930,193002,162864,20.68,1930001628642.0,8,25220812502.0,1,3,20.68,1,17,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
75204,1910,191003,1448401,71.71,1910014484011.0,8,12020805501.0,1,3,71.71,2,18,2,200,0,0,21,2100,1,0.0,0.0,1.0,100.0,2.0,2,20,999,0,0
35044,1900,190001,57173,19.09,1900000571731.0,8,12210800002.0,1,9,19.09,2,1,1,100,0,0,8,800,4,0.0,0.0,,,0.0,1,10,999,0,0
6524,1880,188002,89713,9.95,,8,,1,4,9.95,1,10,1,100,0,0,8,800,1,,,,,,1,10,983,0,0
24768,1900,190001,54528,19.56,1900000545281.0,8,11710800001.0,1,1,19.56,1,35,1,100,0,0,18,1800,4,0.0,0.0,,,0.0,1,10,995,0,0
50981,1900,190001,61290,19.78,1900000612901.0,8,13020800000.0,2,4,19.78,2,20,1,100,0,0,19,1900,1,0.0,0.0,,,2.0,1,10,790,836,11
58416,1900,190003,1005701,101.26,1900010057011.0,8,11910800503.0,1,2,101.26,2,35,1,100,0,0,26,2600,1,0.0,0.0,,,2.0,1,10,995,0,0
96119,1930,193001,30868,100.95,1930000308681.0,8,23920803100.0,1,4,100.95,1,2,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
66912,1910,191002,1439601,101.0,1910014396011.0,8,12010804500.0,1,1,101.0,1,64,1,100,0,0,39,3900,1,0.0,0.0,1.0,100.0,2.0,1,10,100,105,14
119448,1930,193002,153239,20.05,1930001532392.0,8,23720803101.0,1,9,20.05,2,55,1,100,0,0,29,2900,1,0.0,0.0,0.0,0.0,2.0,1,10,720,826,6
106652,1930,193002,149568,20.42,1930001495682.0,8,23020801301.0,1,3,20.42,2,4,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
137933,1930,193002,158744,20.42,1930001587442.0,8,24610808701.0,1,3,20.42,1,14,1,140,0,0,35,3500,1,0.0,0.0,0.0,0.0,2.0,1,12,999,0,0
37172,1900,190001,57724,19.96,1900000577241.0,8,12320800000.0,1,1,19.96,1,41,1,100,0,0,414,41400,5,2.0,5.0,,,1.0,1,10,100,105,14
116389,1930,193002,152348,20.05,1930001523482.0,8,23520803102.0,1,2,20.05,2,36,1,100,0,0,42,4200,1,0.0,0.0,0.0,0.0,2.0,1,10,999,0,0
125529,1930,193002,155257,20.47,1930001552572.0,8,24110803900.0,1,8,20.47,2,2,1,100,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,10,999,0,0
33237,1900,190001,56718,19.12,1900000567181.0,8,12120800001.0,1,1,19.12,1,50,1,100,0,0,51,5100,1,0.0,0.0,,,2.0,1,10,650,206,24
13734,1880,188002,91754,10.02,,8,,1,2,10.02,2,29,1,100,0,0,55,5500,4,,,,,,1,10,980,0,0
82399,1920,192001,1782901,106.1,1920017829011.0,8,15510800101.0,1,1,106.1,1,27,1,100,0,0,17,1700,1,0.0,0.0,,,2.0,1,10,820,105,9
22987,1880,188002,94448,9.87,,8,,1,1,9.87,1,48,1,100,0,0,150,15000,5,,,,,,1,10,650,239,24
92228,1930,193001,29667,100.95,1930000296671.0,8,22920800300.0,1,1,100.95,1,31,1,100,0,0,20,2000,2,0.0,0.0,0.0,0.0,2.0,1,10,100,105,14
163624,1940,194001,355159,100.0,1940003551591.0,8,579678.0,4,1,100.0,1,42,1,100,0,0,36,3600,4,0.0,,,,,1,10,690,358,23
56291,1900,190002,1081601,101.0,1900010816011.0,8,12810809903.0,1,1,101.0,1,45,1,100,0,0,19,1900,1,0.0,0.0,,,2.0,1,10,470,746,35
61463,1900,190003,1075701,109.73,1900010757011.0,8,12720808900.0,1,3,109.73,1,18,1,100,0,0,20,2000,1,0.0,0.0,,,0.0,1,10,995,0,0
145697,1930,193002,160882,20.48,1930001608822.0,8,24920810100.0,1,3,20.48,1,1,1,140,0,0,8,800,1,0.0,0.0,0.0,0.0,0.0,1,12,999,0,0
121857,1930,193002,154179,20.05,1930001541792.0,8,23910803100.0,4,8,20.05,1,44,1,100,0,0,434,43400,5,2.0,5.0,10.0,1000.0,0.0,1,10,564,246,23
52242,1900,190002,989601,100.0,1900009896011.0,8,11710800502.0,2,9,100.0,1,28,2,200,0,0,47,4700,1,0.0,0.0,,,2.0,2,20,4,899,31
