,1878,1880,1882,1884,1886,1888,1890,1892,1896,1900,1902,1906,1908,1912,1914,1916,1918,1920,1922,1924,1926,1928,1930,1932,1934,1936,1938,1940
Alabama,1,0,0,1,1,0,1,1,2,6,7,8,8,6,3,5,4,2,5,9,6,5,4,12,10,4,6,6
Arizona,0,0,1,1,0,0,1,1,2,1,0,2,3,2,4,1,3,5,7,0,4,4,5,3,9,5,11,4
Arkansas,0,0,1,4,2,3,1,1,1,2,2,2,4,5,9,4,7,5,10,13,11,9,15,21,13,19,15,24
California,1,1,5,2,3,5,3,12,9,13,9,4,11,14,9,14,5,6,11,8,9,17,15,10,13,20,15,6
Colorado,,,3,8,2,7,13,21,31,15,40,30,50,84,64,95,60,67,83,102,144,170,187,248,276,291,293,267
Connecticut,,1,3,1,3,4,6,4,2,6,3,2,5,2,4,2,2,1,1,1,2,3,2,5,2,1,4,1
D.C.,6,3,2,1,2,3,1,2,0,2,1,0,4,5,2,2,1,2,1,1,2,0,1,0,2,1,0,0
Delaware,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
Florida,,,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,4,1,3,2,6,2
Georgia,1,1,0,1,1,0,0,0,0,6,5,4,7,7,8,5,7,6,4,5,6,7,11,4,9,5,5,3
Idaho,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,1,2,3,1,3,3,7,6
Illinois ,3,9,20,26,15,27,45,61,35,35,49,42,43,46,34,53,24,30,51,36,35,60,60,62,58,49,51,49
Indiana,4,1,9,6,9,16,14,15,10,9,15,13,7,11,18,16,10,12,6,15,17,23,14,22,24,16,23,17
Iowa,7,8,14,10,6,5,18,34,12,22,29,21,22,25,29,24,31,24,34,22,40,37,46,40,38,40,40,25
Kansas,1,2,4,6,1,7,7,13,11,11,25,25,25,27,41,35,25,38,39,33,68,70,61,102,64,62,102,108
Kentucky,2,8,9,13,13,12,14,14,15,11,24,19,21,12,20,17,7,13,16,16,22,19,14,24,16,28,22,16
Louisiana ,2,3,1,2,2,5,2,8,7,2,9,3,2,5,7,6,2,4,7,12,13,4,5,7,6,8,6,9
Maine,0,2,3,3,0,3,1,4,3,3,4,2,8,1,1,1,0,0,0,3,0,1,3,4,5,0,2,3
Maryland,1,2,4,4,4,3,3,5,2,2,4,1,5,4,6,1,1,3,3,6,4,1,2,1,4,1,3,5
Massachussetts ,5,6,12,7,6,8,14,16,15,12,10,10,9,10,12,6,6,5,8,7,11,7,6,11,7,7,10,4
Michigan,1,3,4,9,3,12,17,14,12,3,9,9,14,7,16,15,12,13,13,12,14,13,19,18,15,15,16,14
Minnesota,1,0,2,4,2,0,2,5,2,0,2,10,4,9,7,6,1,3,4,8,6,7,15,10,14,7,8,10
Mississipi ,0,1,1,2,4,1,5,4,3,1,6,6,4,2,3,3,2,2,4,5,3,1,7,11,7,8,2,5
Missouri,13,15,22,28,18,24,44,45,45,31,42,40,46,37,50,51,30,46,66,57,82,83,83,115,83,86,113,83
Montana,0,0,0,0,1,0,0,0,0,1,2,1,1,3,1,2,3,3,5,3,5,1,1,5,6,7,7,6
Nebraska ,1,1,1,2,0,1,11,13,4,4,6,9,9,17,10,12,10,12,26,24,34,46,40,40,58,57,62,61
Nevada,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,2,1,1,0,0
New Hampshire,0,0,0,2,1,1,0,0,0,0,5,0,0,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0
New Jersey,0,2,1,0,1,7,11,11,8,4,2,3,3,2,4,5,4,4,1,5,4,3,0,4,5,1,4,2
New Mexico,3,2,7,10,5,3,11,7,4,10,10,13,17,17,14,25,18,20,32,30,49,54,65,65,97,68,85,99
New York,20,36,51,50,41,55,58,81,53,28,32,29,29,34,30,36,18,16,24,30,26,29,29,30,23,23,23,25
North Carolina,1,1,3,1,1,3,0,3,3,0,4,0,6,2,6,3,4,2,2,3,6,8,5,11,8,3,1,7
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,3,1,5,3,1,1,2
Ohio,8,14,21,24,20,21,36,49,27,20,20,29,26,22,30,18,11,9,24,27,21,28,24,30,26,27,25,17
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,11,3,11,21,23,24,41,35,60,55,48,77,74
Oregon,0,0,0,1,0,0,1,2,1,2,1,0,0,2,2,5,0,3,5,0,4,2,1,2,3,7,3,0
Pennsylvania,6,23,24,20,27,29,42,52,29,11,32,23,20,35,39,23,11,8,20,19,24,28,22,26,33,18,25,18
Rhode Island,0,1,3,5,1,1,3,1,1,1,0,1,1,0,3,0,0,1,0,1,1,1,3,2,1,1,0,2
South Carolina,0,1,1,1,1,1,2,0,0,1,2,0,0,1,1,0,0,0,1,2,2,0,0,0,1,2,6,3
South Dakota,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,6,0,1,0,2,4,7,8,7,5,6,0,7
Tennessee ,1,2,2,4,6,7,8,8,7,7,13,13,17,15,15,12,10,7,13,10,13,12,8,18,15,13,13,18
Texas,1,4,4,6,8,6,18,8,20,4,11,15,12,26,35,24,13,16,39,46,47,52,37,49,53,63,66,43
Utah,0,0,1,1,1,0,1,2,1,0,2,0,2,0,3,1,1,4,5,3,4,3,5,5,9,4,6,10
Vermont,1,3,5,1,1,1,2,4,3,2,2,2,1,0,3,0,3,1,1,1,1,1,3,1,0,1,1,1
Virginia,2,3,4,7,5,4,8,9,6,5,1,5,10,8,9,9,7,2,5,7,7,8,3,9,9,2,11,5
Washington,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5,2,0,4,0,1,5,1,4,6,6,1,3,7
West Virginia,0,0,1,3,1,0,4,7,1,2,6,4,2,3,4,3,0,3,8,4,6,4,3,12,5,4,9,8
Wisconsin,3,3,8,11,10,13,7,20,16,6,7,5,8,11,10,5,6,4,10,8,9,8,14,14,9,7,9,10
Wyoming,0,0,0,1,0,1,1,0,0,0,0,0,2,2,7,1,9,2,1,5,5,1,9,11,8,9,7,9
