,Location,Year,Prisoners
0,Alabama,1878,1
1,Alabama,1880,0
2,Alabama,1882,0
3,Alabama,1884,1
4,Alabama,1886,1
5,Alabama,1888,0
6,Alabama,1890,1
7,Alabama,1892,1
8,Alabama,1896,2
9,Alabama,1900,6
10,Alabama,1902,7
11,Alabama,1906,8
12,Alabama,1908,8
13,Alabama,1912,6
14,Alabama,1914,3
15,Alabama,1916,5
16,Alabama,1918,4
17,Alabama,1920,2
18,Alabama,1922,5
19,Alabama,1924,9
20,Alabama,1926,6
21,Alabama,1928,5
22,Alabama,1930,4
23,Alabama,1932,12
24,Alabama,1934,10
25,Alabama,1936,4
26,Alabama,1938,6
27,Alabama,1940,6
28,Alaska,1878,0
29,Alaska,1880,0
30,Alaska,1882,0
31,Alaska,1884,0
32,Alaska,1886,0
33,Alaska,1888,0
34,Alaska,1890,0
35,Alaska,1892,0
36,Alaska,1896,0
37,Alaska,1900,0
38,Alaska,1902,0
39,Alaska,1906,0
40,Alaska,1908,0
41,Alaska,1912,0
42,Alaska,1914,0
43,Alaska,1916,1
44,Alaska,1918,0
45,Alaska,1920,0
46,Alaska,1922,1
47,Alaska,1924,0
48,Alaska,1926,0
49,Alaska,1928,0
50,Alaska,1930,0
51,Alaska,1932,0
52,Alaska,1934,0
53,Alaska,1936,0
54,Alaska,1938,0
55,Alaska,1940,0
56,Arizona,1878,0
57,Arizona,1880,0
58,Arizona,1882,1
59,Arizona,1884,1
60,Arizona,1886,0
61,Arizona,1888,0
62,Arizona,1890,1
63,Arizona,1892,1
64,Arizona,1896,2
65,Arizona,1900,1
66,Arizona,1902,0
67,Arizona,1906,2
68,Arizona,1908,3
69,Arizona,1912,2
70,Arizona,1914,4
71,Arizona,1916,1
72,Arizona,1918,3
73,Arizona,1920,5
74,Arizona,1922,7
75,Arizona,1924,0
76,Arizona,1926,4
77,Arizona,1928,4
78,Arizona,1930,5
79,Arizona,1932,3
80,Arizona,1934,9
81,Arizona,1936,5
82,Arizona,1938,11
83,Arizona,1940,4
84,Arkansas,1878,0
85,Arkansas,1880,0
