,Location,Year,Prisoners,Region
0,Alabama,1878,1,Southeast (US)
1,Alabama,1880,0,Southeast (US)
2,Alabama,1882,0,Southeast (US)
3,Alabama,1884,1,Southeast (US)
4,Alabama,1886,1,Southeast (US)
5,Alabama,1888,0,Southeast (US)
6,Alabama,1890,1,Southeast (US)
7,Alabama,1892,1,Southeast (US)
8,Alabama,1896,2,Southeast (US)
9,Alabama,1900,6,Southeast (US)
10,Alabama,1902,7,Southeast (US)
11,Alabama,1906,8,Southeast (US)
12,Alabama,1908,8,Southeast (US)
13,Alabama,1912,6,Southeast (US)
14,Alabama,1914,3,Southeast (US)
15,Alabama,1916,5,Southeast (US)
16,Alabama,1918,4,Southeast (US)
17,Alabama,1920,2,Southeast (US)
18,Alabama,1922,5,Southeast (US)
19,Alabama,1924,9,Southeast (US)
20,Alabama,1926,6,Southeast (US)
21,Alabama,1928,5,Southeast (US)
22,Alabama,1930,4,Southeast (US)
23,Alabama,1932,12,Southeast (US)
24,Alabama,1934,10,Southeast (US)
25,Alabama,1936,4,Southeast (US)
26,Alabama,1938,6,Southeast (US)
27,Alabama,1940,6,Southeast (US)
28,Alaska,1878,0,Alaska & Hawaii
29,Alaska,1880,0,Alaska & Hawaii
30,Alaska,1882,0,Alaska & Hawaii
31,Alaska,1884,0,Alaska & Hawaii
32,Alaska,1886,0,Alaska & Hawaii
33,Alaska,1888,0,Alaska & Hawaii
34,Alaska,1890,0,Alaska & Hawaii
35,Alaska,1892,0,Alaska & Hawaii
36,Alaska,1896,0,Alaska & Hawaii
37,Alaska,1900,0,Alaska & Hawaii
38,Alaska,1902,0,Alaska & Hawaii
39,Alaska,1906,0,Alaska & Hawaii
40,Alaska,1908,0,Alaska & Hawaii
41,Alaska,1912,0,Alaska & Hawaii
42,Alaska,1914,0,Alaska & Hawaii
43,Alaska,1916,1,Alaska & Hawaii
44,Alaska,1918,0,Alaska & Hawaii
45,Alaska,1920,0,Alaska & Hawaii
46,Alaska,1922,1,Alaska & Hawaii
47,Alaska,1924,0,Alaska & Hawaii
48,Alaska,1926,0,Alaska & Hawaii
49,Alaska,1928,0,Alaska & Hawaii
50,Alaska,1930,0,Alaska & Hawaii
51,Alaska,1932,0,Alaska & Hawaii
52,Alaska,1934,0,Alaska & Hawaii
53,Alaska,1936,0,Alaska & Hawaii
54,Alaska,1938,0,Alaska & Hawaii
55,Alaska,1940,0,Alaska & Hawaii
56,Arizona,1878,0,Southwest (US)
57,Arizona,1880,0,Southwest (US)
58,Arizona,1882,1,Southwest (US)
59,Arizona,1884,1,Southwest (US)
60,Arizona,1886,0,Southwest (US)
61,Arizona,1888,0,Southwest (US)
62,Arizona,1890,1,Southwest (US)
63,Arizona,1892,1,Southwest (US)
64,Arizona,1896,2,Southwest (US)
65,Arizona,1900,1,Southwest (US)
66,Arizona,1902,0,Southwest (US)
67,Arizona,1906,2,Southwest (US)
68,Arizona,1908,3,Southwest (US)
69,Arizona,1912,2,Southwest (US)
70,Arizona,1914,4,Southwest (US)
71,Arizona,1916,1,Southwest (US)
72,Arizona,1918,3,Southwest (US)
73,Arizona,1920,5,Southwest (US)
74,Arizona,1922,7,Southwest (US)
75,Arizona,1924,0,Southwest (US)
76,Arizona,1926,4,Southwest (US)
77,Arizona,1928,4,Southwest (US)
78,Arizona,1930,5,Southwest (US)
79,Arizona,1932,3,Southwest (US)
80,Arizona,1934,9,Southwest (US)
81,Arizona,1936,5,Southwest (US)
82,Arizona,1938,11,Southwest (US)
83,Arizona,1940,4,Southwest (US)
84,Arkansas,1878,0,Southeast (US)
85,Arkansas,1880,0,Southeast (US)
86,Arkansas,1882,1,Southeast (US)
87,Arkansas,1884,4,Southeast (US)
88,Arkansas,1886,2,Southeast (US)
89,Arkansas,1888,3,Southeast (US)
90,Arkansas,1890,1,Southeast (US)
91,Arkansas,1892,1,Southeast (US)
92,Arkansas,1896,1,Southeast (US)
93,Arkansas,1900,2,Southeast (US)
94,Arkansas,1902,2,Southeast (US)
95,Arkansas,1906,2,Southeast (US)
96,Arkansas,1908,4,Southeast (US)
97,Arkansas,1912,5,Southeast (US)
