,YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STATEFIP,GQ,PERNUM,PERWT,SEX,AGE,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,NATIVITY,CITIZEN,YRSUSA2,LANGUAGE,LANGUAGED,SPEAKENG,RACESING,RACESINGD,OCC1950,IND1950,OCCSCORE,HISTID
3717373,1940,194002,3802221,1.0,,8,1,4,1.0,1,65,1,100,0,0,29,2900,1,0.0,,,,,,,820,105,9,986A5ABD-00C7-48ED-BBB2-AAF5F4ED74F0
1446260,1910,191004,1705712,1.0,,8,1,1,1.0,1,40,1,100,0,0,410,41000,5,2.0,5.0,1.0,100.0,2.0,1.0,10.0,979,0,0,07E875FA-3E60-4DE0-96BA-5C1988CAF7FB
4465969,1940,194002,4028497,1.0,,8,1,2,1.0,2,49,1,100,0,0,36,3600,0,0.0,,,,,,,999,0,0,ED46D3F9-22F3-47D3-A457-440165D5DF32
566570,1900,190004,1145534,1.0,,8,1,8,1.0,2,12,1,100,0,0,19,1900,1,0.0,0.0,,,2.0,1.0,10.0,983,0,0,487498F0-0351-4667-B8D9-835940212F72
4184481,1940,194002,3944057,1.0,,8,1,1,1.0,1,71,1,100,0,0,29,2900,1,0.0,,,,,,,999,0,0,FFE4DA15-1C24-4CF8-8194-C1F09B6D8C7E
4331234,1940,194002,3984787,1.0,,8,1,1,1.0,1,60,1,100,0,0,54,5400,0,0.0,,,,,,,999,0,0,EB7417C7-CD5E-462E-8961-5F6E513C940F
701708,1900,190004,1178042,1.0,,8,3,1,1.0,1,56,1,100,0,0,42,4200,1,0.0,0.0,,,2.0,1.0,10.0,999,0,0,F511AD7D-64E5-463B-B887-56D2719B0811
3549851,1930,193004,3208703,1.0,,8,1,3,1.0,1,20,1,100,0,0,29,2900,1,0.0,0.0,0.0,0.0,2.0,1.0,10.0,820,105,9,39AFEF12-AB1A-4777-AC5F-3E439E320364
2352739,1920,192003,2251248,1.0,,8,1,2,1.0,2,41,1,100,0,0,410,41000,5,2.0,4.0,,,2.0,1.0,10.0,999,0,0,3CAB6DC1-CE94-4708-A190-4DBCF204EF6A
787549,1910,191004,1533418,1.0,,8,1,4,1.0,1,38,1,100,0,0,99,9900,4,0.0,0.0,1.0,100.0,2.0,1.0,10.0,820,105,9,BF5DDFB1-0193-4B09-8246-BEA192D13AA6
3227864,1930,193004,3125048,1.0,,8,1,1,1.0,1,56,1,100,0,0,19,1900,2,0.0,0.0,0.0,0.0,2.0,1.0,10.0,960,526,15,DA19BCDE-5B15-4FBC-8933-05B79640DEA6
